JUMLAH NILAI RAMPASAN (RM) MENGIKUT JENIS DADAH,,,,,,
,,,,,,
TAHUN,"HEROIN
(RM' JUTA)","GANJA
(RM' JUTA)","CANDU MENTAH
(RM' JUTA)","CANDU MASAK
(RM' JUTA)","SYABU
(RM' JUTA)","PIL AMPHETAMINE-TYPE STIMULANTS (ATS) DAN LAIN-LAIN 
(RM' JUTA)"
2014,26.405,1.735,0.0002,0.002,218.2,45.38
2015,49.226,4.505,0.001,0.002,145.967,59.291
2016,14.423,8.084,0.001,0.013,95.12,52.46
2017,31.815,6.897,0,0.004,110.779,110.692
2018,20.341,4.74,0,0.0004,383.568,119.028
2019,24.04,1.669,0.0002,0.0073,272.964,107.521
